hydrological_year,glacier_index,longitude,latitude,winter_temperature_c,summer_temperature_c,winter_precipitation_mm,summer_precipitation_mm
2052,437,6.792,45.817,-4.453742158187522,9.13641338516889,840.440238248358,726.9803083430676
2052,447,6.799,45.819,-4.47405156122762,9.113167517210046,837.0052286567978,725.4103860170511
2052,448,6.799,45.827,-4.503640104759471,8.99532246307231,870.5383841156529,735.6222343900226
2052,449,6.799,45.837,-4.4154230084363775,9.175618867899082,843.3486070655587,738.6053375527481
2052,459,6.811,45.849,-4.423385774115794,9.164875181730705,840.4145518800328,741.9377420161409
2052,460,6.819,45.856,-4.432339709337244,9.154012654977684,838.081844348002,743.3343323368844
2052,462,6.823,45.859,-4.438528451347427,9.146797228325905,836.7339105891027,743.6471120775803
2052,464,6.831,45.863,-4.457442406608238,9.125414161781187,833.3310409824959,742.8054237064605
2052,468,6.844,45.863,-4.508916347607651,9.068371700384546,825.5378164003279,736.790238996856
2052,484,6.862,45.976,-4.231875120210346,9.369722073716183,853.5239646283495,806.0450311858727
2052,488,6.865,45.868,-4.576696089257165,8.993030344361644,814.6608815317699,730.5214532380621
2052,489,6.865,45.99,-4.201656603345101,9.403051812760229,856.4856268475704,813.9667050467231
2052,490,6.865,45.99,-4.201656603345101,9.403051812760229,856.4856268475704,813.9667050467231
2052,491,6.865,45.99,-4.201656603345101,9.403051812760229,856.4856268475704,813.9667050467231
2052,497,6.871,45.984,-4.3136533192292665,9.217064435704618,880.5018754181463,810.5230132481998
2052,498,6.871,45.984,-4.3136533192292665,9.217064435704618,880.5018754181463,810.5230132481998
2052,499,6.871,45.984,-4.3136533192292665,9.217064435704618,880.5018754181463,810.5230132481998
2052,500,6.871,45.992,-4.289698011362207,9.244224390199157,883.3033351052911,815.963654368505
2052,503,6.875,45.88,-4.579873785161006,8.989201555042284,812.7281699160978,734.0434602668133
2052,504,6.877,45.985,-4.2686018113991615,9.331182182015159,847.2695638958954,804.0886684049801
2052,506,6.88,45.886,-4.581712243578734,8.987138949780945,811.7462126100345,735.7441536710859
2052,509,6.882,45.877,-4.617001399636839,8.948291907052996,807.503511212016,728.7047639443906
2052,517,6.888,45.882,-4.625940048915299,8.93844106561044,805.5778244935835,729.2432053033396
2052,518,6.889,45.892,-4.5998769648216875,8.96723498387058,808.337419073275,735.4836384562234
2052,524,6.901,45.901,-4.621588282721254,8.943721250334567,804.0969553713894,735.6909271305766
2052,526,6.906,45.895,-4.659675204038599,8.90170907178587,799.0713338771817,729.3033775500262
2052,527,6.909,45.897,-4.665915932244139,8.894964081923419,797.9234798150059,729.1743000135066
2052,530,6.912,45.907,-4.648640005727629,8.914466793354908,799.428886090747,734.2833550646741
2052,531,6.919,45.906,-4.680135293539122,8.879972506871942,794.8531314468368,730.2076723422344
2052,534,6.924,45.911,-4.685976951726354,8.873997397107413,793.4707070224846,731.0040253613805
2052,535,6.928,45.905,-4.719743790670074,8.836587182184786,789.0703120874169,725.166440272665
2052,537,6.934,45.883,-4.807619878219453,8.738406423859132,778.2438911754355,708.1106335988409
2052,539,6.947,45.933,-4.717481352220751,8.842225567614335,786.6698973216968,733.6127436303864
2052,541,6.951,45.939,-4.7170825889294035,8.843528190847547,786.1747220657993,735.3657287580144
2052,542,6.952,45.951,-4.68725925666492,8.877625891101655,789.4618197368229,742.3889120370126
2052,543,6.955,45.927,-4.767657657478318,8.786924588508807,779.8391921570915,725.8125315787196
2052,544,6.955,45.946,-4.713992467538818,8.84796438953309,785.9953123875281,737.7121125907062
2052,547,6.957,45.955,-4.697001496985709,8.867799207859044,787.6846398687718,742.3032238861606
2052,548,6.96,45.887,-4.900767488288891,8.636282721882118,763.9153913679751,698.3100164290018
2052,549,6.961,45.912,-4.834597510420149,8.711923827403261,771.3500531259716,713.4532173398784
2052,553,6.969,45.888,-4.934216703327733,8.599625647749182,758.8270386195593,694.6509633462929
2052,557,6.977,45.894,-4.949866857899646,8.583251588779657,755.9268322700193,694.533801619067
2052,564,6.985,45.951,-4.8259779738212005,8.728043534707401,769.1868159786666,725.3600631227414
2052,566,6.986,45.973,-4.769934422968995,8.793065293369136,775.5738851511844,738.1566537828608
2052,567,6.986,45.973,-4.769934422968995,8.793065293369136,775.5738851511844,738.1566537828608
2052,569,6.988,45.987,-4.7402022119214795,8.828143118565375,778.7941735974613,745.5358596486185
