hydrological_year,glacier_index,annual_temperature_c,winter_temperature_c,summer_temperature_c,annual_precipitation_mm,winter_precipitation_mm,summer_precipitation_mm,RGI_ID,GLIMS_ID,glacier_name,latitude,longitude,mass_balance
1982,531,1.2362530502996427,-5.051858650833131,7.524364878295897,1912.8176658325187,1195.3234897460939,717.4941760864249,3418,G006919E45906N,de la Republique,45.906,6.919,-0.3225504
1982,534,1.2264738836965585,-5.065984171157836,7.518932068847659,1911.5032973937998,1192.0511302795412,719.4521671142588,3582,G006924E45911N,de la Thendia,45.911,6.924,-0.2748893
1982,535,1.188074957976345,-5.107240023956296,7.483390077056889,1898.0835820007337,1185.745028533936,712.338553466798,3313,G006928E45905N,de Trelaporte,45.905,6.928,-0.2920824
1982,537,1.0911970554428172,-5.207423708427422,7.38981797023011,1861.947815765384,1171.4613190002449,690.486496765139,3643,G006934E45883N,Mer de Glace ,45.883,6.934,-0.2580785
1982,539,1.1770760821356765,-5.135814834598542,7.489967150703429,1904.0106618041991,1176.7158915100097,727.2947702941892,3519,G006947E45933N,des Drus,45.933,6.947,-0.2162999
1982,541,1.174780394466879,-5.141928959041593,7.491489904045107,1905.3419578247076,1174.8730922546392,730.4688655700686,3263,G006951E45939N,du Nant Blanc,45.939,6.951,-0.2546088
1982,542,1.2056620493440646,-5.11289308453369,7.524217338592532,1918.5610765686042,1178.3263714904788,740.2347050781254,3639,G006952E45951N,de la Pendant,45.951,6.952,-0.2427971
1982,543,1.1185458965802177,-5.200459707393648,7.4375516639327985,1884.5801486206049,1166.3215684509275,718.2585801696773,3284,G006955E45927N,de la Charpoua,45.927,6.955,-0.0064099
1982,544,1.1753707379293377,-5.145282520980841,7.496024157409661,1907.8835488891573,1173.410047607421,734.4735012817365,3475,G006955E45946N,des Grands Montets,45.946,6.955,-0.2620157
1982,547,1.1920453725123363,-5.131082625141148,7.51517353244781,1915.8892657470683,1174.7349046325678,741.1543611145005,3585,G006957E45955N,de Lognan,45.955,6.957,-0.2529454
1982,548,0.9740506419229522,-5.345447412567138,7.293548870391847,1828.0532667541509,1146.2690516662599,681.784215087891,3534,G006960E45887N,de l'Aiguille du Tacul,45.887,6.96,-0.1876328
1982,549,1.0435200243453937,-5.279059330299382,7.36609955149841,1857.1715930786117,1154.590982238769,702.5806108398428,3631,G006961E45912N,du Moine,45.912,6.961,-0.2068973
1982,553,0.9322556534843375,-5.394470577705391,7.258982067062371,1815.8342713012669,1137.411151916503,678.4231193847639,3641,G006969E45888N,du Capucin,45.888,6.969,-0.3753757
1982,557,0.9101124038762982,-5.423585076477057,7.243810074432366,1811.1986437377902,1131.4620484619131,679.7365952758773,0,G006977E45894N,des Dards 1,45.894,6.977,-0.1048466
1982,564,1.0369505855822563,-5.3094534510993965,7.383354826698303,1868.5654833984377,1144.7660905456542,723.7993928527835,3638,G006985E45951N,d'Argentiere,45.951,6.985,-0.2257418
1982,566,1.0961469788951854,-5.253559347068787,7.445853513381955,1893.803179107665,1152.0516906433104,741.7514884643547,0,G006986E45973N,des Dards 1,45.973,6.986,-0.0180648
1982,567,1.0961469788951854,-5.253559347068787,7.445853513381955,1893.803179107665,1152.0516906433104,741.7514884643547,3712,G006986E45973N,du Passon 1,45.973,6.986,-0.0876762
1982,569,1.1266887379255328,-5.226327950881955,7.479705640502933,1907.7732977600112,1155.311208282471,752.4620894775403,3698,G006988E45987N,du Tour,45.987,6.988,-0.1525427
1982,571,1.0638474591636682,-5.288845637550351,7.416540770492556,1882.854677886964,1146.48423324585,736.3704446411142,3511,G006990E45969N,Adams Reilly,45.969,6.99,-0.2323259
1982,572,0.8905819245519543,-5.45729909475709,7.238463152252187,1811.8280734558066,1123.2747113952626,688.5533620605441,3466,G006992E45913N,de Talefre,45.913,6.992,-0.1407568
